E2B2 SizeLegacy
E302 PageLink
E30A DatabaseSource
E30E CommentSolid
E310 ChangeEntitlements
E311 Installation
E313 WebAppBuilderModule
E314 WebAppBuilderFragment
E315 WebAppBuilderSlot
E319 BullseyeTargetEdit
E31B WebAppBuilderFragmentCreate
E31C PageData
E31D PageHeaderEdit
E31E ProductList
E31F UnpublishContent
E344 DependencyAdd
E345 DependencyRemove
E346 EntitlementPolicy
E347 EntitlementRedemption
E34C SchoolDataSyncLogo
E352 PinSolid12
E353 PinSolidOff12
E357 BugWarning
E358 BugAction
E359 SettingsSync
E35A SettingsAdd
E35D GraphSymbol
E35E AddLink
E365 SharepointAppIcon16
E366 DataflowsLink
E367 TimePicker
E368 UserWarning
E369 ComplianceAudit
E36A StickyNotesOutlineAppIcon
E36B StickyNotesSolidAppIcon
E36D Webcam2Off
E370 eDiscovery
E371 CalendarYear
E372 IgnoreConversation
E377 CommonDataServiceCDS
E378 Forum
E393 SentimentAnalysis
E394 TextRecognition
E395 KeyPhraseExtraction
E397 AltText
E398 NumberedListMirrored
E399 IncreaseIndent
E39A IncreaseIndentMirrored
E39B DecreaseIndent
E39C DecreaseIndentMirrored
E39D IncreaseIndentHanging
E39E IncreaseIndentHangingMirrored
E3A1 ArchiveUndo
E3A8 LeaveUser
E3AA EdgeLogo16
E3AB EdgeLogo
E3AC FabricFolderUpload
E3AD RedEye12
E3AE MapPin12
E3AF Insights
E3B6 TaskList
E3B8 MachineLearning
E3BD HealthRefresh
E3C0 FontSize2
E3D9 SharedDatabase
E3DB WebEnvironment
E3DC FormatPainter
E3DD IndentFirstLine
E3DE AddSpaceBefore
E3DF AddSpaceAfter
E3E0 TextAlignTop
E3E1 TextAlignMiddle
E3E2 TextAlignBottom
E3E3 TextParagraphOption
E3E4 TextRotation
E3E5 TextRotateHorizontal
E3E6 TextRotate90Degrees
E3E7 TextRotate270Degrees
E3E8 AutoFitContents
E3E9 AutoFitWindow
E3EA FixedColumnWidth
E3EB RepeatHeaderRows
E3EC TableHeaderRow
E3ED TableTotalRow
E3EE TableBrandedRow
E3EF TableFirstColumn
E3F0 TableLastColumn
E3F1 TableBrandedColumn
E3F5 AutomateFlow
E3F6 TagGroup
E3F7 PhotoError
E3F8 HexaditeInvestigation
E3F9 HexaditeInvestigationCancel
E3FA HexaditeInvestigationSemiAuto
E3FB DriverOff
E3FC FileOff
E3FD ServiceOff
E3FE URLBlock
E3FF BugSync
E400 BugBlock
E401 DeviceRun
E402 DeviceOff
E403 ProcessingCancel
E404 ProcessingRun
E405 ProcessingPause
E406 CalculatorDelta
E41E InputAddress
E41F ViewInAR
E420 ImageInAR
E421 CubeShapeSolid
E422 ShapeSolid
E423 Reset
E424 DeviceBug
E427 HomeDropdown
E428 ContentFeed
E42E CompareUneven
E430 VideoAdd
E432 D365ProjectOperations
E433 FileSystem
E434 SQLAnalyticsPool
E435 StorageAcount
E436 BlobStorage
E437 DatabaseView
E438 Column
E439 AzureDataExplorer
E43A SortLinesAscending
E43B TextDocumentEdit
E43C VideoOff2
E43E FastForwardPointFiveX
E43F FastForwardOneX
E440 FastForwardOneFiveX
E441 FastForwardTwoX
E442 FastForwardFourX
E443 FastForwardEightX
E444 RewindPointFiveX
E445 RewindOneX
E446 RewindOneFiveX
E447 RewindTwoX
E448 RewindFourX
E449 RewindEightX
E455 LockShare
E45C FabricFolderLink
E45F LightningBoltSolid
E460 Gather
E461 AssignPolicy
E462 CalculatorGroup
E463 MobileAngled
E464 CopyEdit
E467 EntityExtraction
E468 MostySunnyDay
E469 PartlySunnyDay
